logFC logCPM LR PValue padj
HELPU_013642 -0.768890836795671 8.60811084798456 10.2238961314612 0.00138632688072988 0.0352255988345459
HELPU_013456 2.61677156134459 0.394361396330985 16.3197953086926 5.35021285667631e-05 0.00324757920400252
HELPU_016302 2.986576499318 4.56322662107109 28.0228521812084 1.19891258106306e-07 2.31164450482853e-05
HELPU_020266 -1.68152124602894 1.51258631794725 10.07102912478 0.00150618879517966 0.0374581610989369
HELPU_011220 1.21793530428249 6.12121762801326 17.6930563735815 2.59572404008786e-05 0.00187406701731277
HELPU_008746 -0.77534579641375 6.26233541030429 11.4540175638216 0.000713395951560331 0.0230154453742564
HELPU_021161 -1.33582699000731 7.23451589684005 16.0053586977295 6.31634496914319e-05 0.00372368984529812
HELPU_018058 1.23486859242795 3.00554125653648 12.431273966966 0.000422203801057959 0.0155125993478651
HELPU_022256 2.09757828121446 1.856371653876 11.2447386558963 0.000798490354242478 0.0247381066458979
HELPU_011935 -1.51089151776428 7.82823104658621 18.783488408259 1.4642936351423e-05 0.00118803506863104
HELPU_011936 -9.89994990805261 8.24164358222764 38.1025952010491 6.71207968985066e-10 2.66835046486522e-07
HELPU_007242 -6.44921871069008 3.3294717697049 22.7695380950007 1.8263780638584e-06 0.000232034961926941
HELPU_007241 -3.1232855558332 3.78391504076568 15.3272938978365 9.0400910922607e-05 0.00484176643500198
HELPU_007237 -0.871338067314321 4.27947858275427 9.44103118670354 0.00212184159455729 0.0473639094665593
HELPU_007240 -3.36044654851056 4.57626941705839 18.0435706263998 2.1590653984875e-05 0.00160112772922224
HELPU_003639 1.98754332893708 5.55196758510589 16.3612528291688 5.23444459923168e-05 0.00318911942516015
HELPU_005446 2.00614981980082 2.30375995693546 11.4395647467038 0.000718966304435155 0.0231092905346974
HELPU_020636 -2.83836453002796 1.39681265991703 10.7160253479908 0.00106211583271606 0.0297555835596299
HELPU_017731 -1.52713515829877 5.15465489214137 9.95792063639107 0.00160158843786641 0.0390021291355016
HELPU_007908 -1.24599855642429 4.1997810422168 10.5723058616819 0.00114794446390407 0.0309435227284932
HELPU_010136 -0.664721564876523 6.95143802304745 9.43223364041742 0.00213204452323552 0.0473639094665593
HELPU_013199 -1.14514683366749 3.88674020129189 14.4203082348152 0.000146216961372078 0.00702741870946332
HELPU_018416 -1.51516989546643 5.54369045052949 20.3026849066946 6.61077521807117e-06 0.000641088728100405
HELPU_014423 -7.98810163856672 2.41729643965652 14.6889999925656 0.00012678410995409 0.0063272024034804
HELPU_021625 -0.840033908110783 5.2444602785795 10.2943694699161 0.00133436741327671 0.0345286743702574
HELPU_012676 2.56194066252666 4.10275540155567 10.9832222952756 0.0009194043144928 0.0275468323770064
HELPU_004629 1.18821625369914 1.96940409985766 10.4797131868691 0.00120692491558696 0.0321108643531731
HELPU_001069 -1.80769587616365 4.48182167611194 11.3409697357067 0.000758157242421271 0.0239411156956497
HELPU_012631 -10.3566632393856 4.04656388158116 41.5388881774042 1.15549386841335e-10 5.26038583595179e-08
HELPU_020581 0.570380499850637 6.81794961917577 13.5631770379155 0.000230666332114992 0.00997248803949117
HELPU_001349 -2.33306411928192 2.10925680408103 22.648149687438 1.94547480774311e-06 0.000239732230256405
HELPU_001355 -1.16275419149169 6.62559191353005 16.6244459003973 4.55599949645184e-05 0.00288294500955016
HELPU_001358 -2.77066807699398 2.16414597078867 9.49593399777091 0.00205927729932986 0.0466153254954656
HELPU_001373 -1.3243631004656 6.34750858283621 17.5207277255541 2.84192461540315e-05 0.0020162901524607
HELPU_009595 -2.10890718692101 2.60039163330668 30.7721782578321 2.9016839939783e-08 6.79367128247291e-06
HELPU_013565 -0.901135733463462 9.54968075875768 11.8655511673587 0.000571818447173262 0.0194027588627797
HELPU_022425 -2.88207778690835 0.653384819275555 15.7757915324149 7.13091177478166e-05 0.00406105402874078
